"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2","guid","lastupdated"
"Fuji","Delica","0","0","0","yyyy-MM-dd","","","","Mitsubishi ","Delica","2002","1","100","0","1","75.0","0.0","0","0","ac570152-6abb-4d6f-b85e-cc4dcea1f6a6","1781573930794"
"## Log"
"Data","Odo (km)","Fuel (litres)","Full","Price (optional)","l/100km (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc","Weather","guid","lastupdated"
"2026-03-05 07:40","144621.0","49.17","1","83.53","17.44","0.0","0.0",,"After 4*4 on Wiromi beach. ","0","1","106","1.699","0","0.0","15","0.0",,"a17f8495-ebc6-4acc-b820-2e0a4bcdc925","1783723655137"
"2026-03-01 16:33","144339.0","32.62","1","49.55","17.63","0.0","0.0",,"","0","1","109","1.519","0","0.0","14","0.0",,"75d66867-3d2e-46da-9cf5-b79611f5bda6","1783723655137"
"2026-02-12 16:54","144154.0","39.47","1","68.25","16.72","0.0","0.0",,"","0","1","110","1.729","0","0.0","13","0.0",,"d07dfd4b-f710-44d8-a6c7-dbf42df8a6d5","1783723655138"
"2026-01-14 16:54","143918.0","40.84","1","62.44","12.45","0.0","0.0",,"","0","1","119","1.529","0","0.0","12","0.0",,"0eba2d6c-df0c-4b2e-a5a9-43747729be84","1783723655138"
"2026-01-12 17:40","143590.0","38.48","1","62.15","11.7","0.0","0.0",,"Boris trip mama 2","0","1","106","1.615","0","0.0","11","0.0",,"6f14b3ea-75cb-4e70-89cf-684abbc2168a","1783723655139"
"2026-01-11 17:38","143261.0","42.37","1","65.63","14.03","0.0","0.0",,"Bori trip mama","0","1","109","1.549","0","0.0","10","0.0",,"3643c160-ab3d-44cf-8c5f-3e15face6b1e","1783723655139"
"2025-12-25 13:59","142959.0","54.01","1","93.92","11.23","0.0","0.0",,"","0","1","106","1.739","0","0.0","9","0.0",,"975f4a2e-9fea-44c4-a3e2-0cdd8fc502d0","1783723655139"
"2025-12-07 11:30","142622.0","24.46","2","43.03","17.32","0.0","0.0",,"","0","1","106","1.759","0","0.0","8","36.76",,"7dc0d805-b560-40ef-b79b-79b9e0d84194","1783723655139"
"2025-12-01 11:35","142260.0","49.61","1","83.1","12.62","0.0","0.0",,"","0","1","119","1.675","0","0.0","7","0.0",,"073667fd-0064-48a8-b7a0-5a3067806754","1783723655140"
"2025-11-28 18:01","141867.0","53.62","1","91.1","14.77","0.0","0.0",,"","0","1","119","1.699","0","0.0","6","0.0",,"d7c3cdd2-e8a5-4e63-b5c7-fd44d528d998","1783723655144"
"2025-11-20 14:17","141504.0","45.62","1","94.89","15.06","0.0","0.0",,"","0","1","106","2.08","0","0.0","5","0.0",,"a695c3dc-0081-4b42-bb79-79af13f81ccc","1783723655144"
"2025-11-17 06:36","141356.0","25.14","0","53.77",,"0.0","0.0",,"","0","1","119","2.139","0","0.0","4","0.0",,"af286c42-13b0-497c-a7c0-644a17bfc01f","1783723655115"
"2025-11-03 17:12","141034.0","46.03","1","78.2","13.0","0.0","0.0",,"horsley ","0","1","119","1.699","0","0.0","3","0.0",,"c5415518-b283-4958-955b-55758b8d5550","1783723655146"
"2025-10-30 14:42","140680.0","48.1","1","88.5","12.09","0.0","0.0",,"711","0","1","119","1.84","0","0.0","2","0.0",,"e68e471f-d44b-4043-b406-ea990c5d5e41","1783723655147"
"2025-10-25 14:25","140282.0","49.16","1","87.8",,"0.0","0.0",,"","0","1","119","1.786","0","0.0","1","0.0",,"41bb0910-8f47-4f87-bb1b-962075b6256d","1783723655147"
"## Category"
"IdCategory","Name","guid","lastupdated"
"1","Private",,"0"
"2","Work",,"0"
